# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
52,controllerType=0 controllerNumber=1 scan=53,1,Unknown,ms1,17.11,804.0862,0.0000
429,controllerType=0 controllerNumber=1 scan=432,1,Unknown,ms1,139.21,804.0868,0.0000
1072,controllerType=0 controllerNumber=1 scan=1075,1,Unknown,ms1,348.55,804.0866,29418.7168
1645,controllerType=0 controllerNumber=1 scan=1653,1,Unknown,ms1,535.84,804.0867,0.0000
1773,controllerType=0 controllerNumber=1 scan=1785,1,Unknown,ms1,577.43,804.0866,18439.5254
2437,controllerType=0 controllerNumber=1 scan=2486,1,Unknown,ms1,800.32,804.0868,0.0000
2453,controllerType=0 controllerNumber=1 scan=2503,1,Unknown,ms1,805.93,804.0867,18819.4746
2732,controllerType=0 controllerNumber=1 scan=2786,1,Unknown,ms1,898.06,804.0868,0.0000
2941,controllerType=0 controllerNumber=1 scan=2998,1,Unknown,ms1,968.03,804.0864,0.0000
3325,controllerType=0 controllerNumber=1 scan=3389,1,Unknown,ms1,1093.57,804.0868,23293.0371
3333,controllerType=0 controllerNumber=1 scan=3397,1,Unknown,ms1,1096.09,804.0867,0.0000
3512,controllerType=0 controllerNumber=1 scan=3584,1,Unknown,ms1,1155.21,804.0866,23967.5410
3679,controllerType=0 controllerNumber=1 scan=3760,1,Unknown,ms1,1211.63,804.0862,0.0000
4014,controllerType=0 controllerNumber=1 scan=4128,1,Unknown,ms1,1325.03,804.0866,0.0000
4058,controllerType=0 controllerNumber=1 scan=4178,1,Unknown,ms1,1339.86,804.0866,0.0000
4215,controllerType=0 controllerNumber=1 scan=4344,1,Unknown,ms1,1391.71,804.0867,27617.0234
4227,controllerType=0 controllerNumber=1 scan=4357,1,Unknown,ms1,1395.73,804.0867,0.0000
4290,controllerType=0 controllerNumber=1 scan=4423,1,Unknown,ms1,1416.92,804.0864,0.0000
4321,controllerType=0 controllerNumber=1 scan=4457,1,Unknown,ms1,1427.56,804.0865,31763.3477
4529,controllerType=0 controllerNumber=1 scan=4685,1,Unknown,ms1,1498.01,804.0867,10856.1484
4536,controllerType=0 controllerNumber=1 scan=4693,1,Unknown,ms1,1500.47,804.0866,0.0000
4558,controllerType=0 controllerNumber=1 scan=4717,1,Unknown,ms1,1508.09,804.0865,0.0000
4618,controllerType=0 controllerNumber=1 scan=4800,1,Unknown,ms1,1531.02,804.0863,0.0000
4782,controllerType=0 controllerNumber=1 scan=5029,1,Unknown,ms1,1593.66,804.0862,24185.7109
