# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
46,controllerType=0 controllerNumber=1 scan=47,1,Unknown,ms1,15.06,990.7663,0.0000
102,controllerType=0 controllerNumber=1 scan=105,1,Unknown,ms1,33.69,990.7668,0.0000
119,controllerType=0 controllerNumber=1 scan=122,1,Unknown,ms1,39.16,990.7668,24035.7656
130,controllerType=0 controllerNumber=1 scan=133,1,Unknown,ms1,42.79,990.7668,17115.9648
350,controllerType=0 controllerNumber=1 scan=353,1,Unknown,ms1,113.68,990.7669,13083.1240
468,controllerType=0 controllerNumber=1 scan=471,1,Unknown,ms1,151.92,990.7669,15540.1846
597,controllerType=0 controllerNumber=1 scan=600,1,Unknown,ms1,194.30,990.7670,18844.8984
789,controllerType=0 controllerNumber=1 scan=792,1,Unknown,ms1,257.11,990.7668,23445.7070
1070,controllerType=0 controllerNumber=1 scan=1073,1,Unknown,ms1,347.92,990.7669,19638.2109
1165,controllerType=0 controllerNumber=1 scan=1168,1,Unknown,ms1,378.30,990.7669,15194.3496
1258,controllerType=0 controllerNumber=1 scan=1261,1,Unknown,ms1,408.30,990.7671,0.0000
1451,controllerType=0 controllerNumber=1 scan=1456,1,Unknown,ms1,472.32,990.7669,0.0000
1474,controllerType=0 controllerNumber=1 scan=1480,1,Unknown,ms1,479.72,990.7668,0.0000
1475,controllerType=0 controllerNumber=1 scan=1481,1,Unknown,ms1,480.04,990.7668,0.0000
1519,controllerType=0 controllerNumber=1 scan=1525,1,Unknown,ms1,494.58,990.7669,26005.6113
1560,controllerType=0 controllerNumber=1 scan=1567,1,Unknown,ms1,508.06,990.7668,0.0000
1606,controllerType=0 controllerNumber=1 scan=1613,1,Unknown,ms1,522.89,990.7669,25195.6191
1689,controllerType=0 controllerNumber=1 scan=1698,1,Unknown,ms1,550.12,990.7668,0.0000
1696,controllerType=0 controllerNumber=1 scan=1706,1,Unknown,ms1,552.57,990.7667,0.0000
1738,controllerType=0 controllerNumber=1 scan=1748,1,Unknown,ms1,565.93,990.7669,0.0000
1753,controllerType=0 controllerNumber=1 scan=1763,1,Unknown,ms1,570.71,990.7667,0.0000
1914,controllerType=0 controllerNumber=1 scan=1932,1,Unknown,ms1,624.72,990.7668,0.0000
1915,controllerType=0 controllerNumber=1 scan=1933,1,Unknown,ms1,625.04,990.7667,0.0000
1952,controllerType=0 controllerNumber=1 scan=1970,1,Unknown,ms1,637.12,990.7669,10347.9736
1968,controllerType=0 controllerNumber=1 scan=1987,1,Unknown,ms1,642.56,990.7668,0.0000
2021,controllerType=0 controllerNumber=1 scan=2041,1,Unknown,ms1,659.90,990.7667,0.0000
2118,controllerType=0 controllerNumber=1 scan=2141,1,Unknown,ms1,691.38,990.7665,17888.0547
2146,controllerType=0 controllerNumber=1 scan=2169,1,Unknown,ms1,700.83,990.7667,0.0000
2152,controllerType=0 controllerNumber=1 scan=2175,1,Unknown,ms1,703.03,990.7665,19528.4824
2156,controllerType=0 controllerNumber=1 scan=2179,1,Unknown,ms1,704.34,990.7668,31274.5977
2302,controllerType=0 controllerNumber=1 scan=2344,1,Unknown,ms1,754.38,990.7663,22136.2344
2783,controllerType=0 controllerNumber=1 scan=2839,1,Unknown,ms1,915.63,990.7667,0.0000
3006,controllerType=0 controllerNumber=1 scan=3063,1,Unknown,ms1,989.30,990.7668,31488.5781
3325,controllerType=0 controllerNumber=1 scan=3389,1,Unknown,ms1,1093.57,990.7671,0.0000
3335,controllerType=0 controllerNumber=1 scan=3399,1,Unknown,ms1,1096.72,990.7668,22094.1191
3511,controllerType=0 controllerNumber=1 scan=3583,1,Unknown,ms1,1154.89,990.7667,17783.9688
3553,controllerType=0 controllerNumber=1 scan=3625,1,Unknown,ms1,1169.11,990.7663,0.0000
3779,controllerType=0 controllerNumber=1 scan=3868,1,Unknown,ms1,1245.01,990.7665,0.0000
3798,controllerType=0 controllerNumber=1 scan=3889,1,Unknown,ms1,1251.31,990.7665,0.0000
3801,controllerType=0 controllerNumber=1 scan=3892,1,Unknown,ms1,1252.30,990.7665,0.0000
3815,controllerType=0 controllerNumber=1 scan=3908,1,Unknown,ms1,1257.05,990.7665,28303.1523
4149,controllerType=0 controllerNumber=1 scan=4273,1,Unknown,ms1,1369.67,990.7668,20480.5234
4418,controllerType=0 controllerNumber=1 scan=4562,1,Unknown,ms1,1460.45,990.7667,0.0000
4531,controllerType=0 controllerNumber=1 scan=4687,1,Unknown,ms1,1498.64,990.7667,0.0000
4986,controllerType=0 controllerNumber=1 scan=5427,1,Unknown,ms1,1689.54,990.7651,0.0000
4987,controllerType=0 controllerNumber=1 scan=5433,1,Unknown,ms1,1690.55,990.7665,0.0000
4988,controllerType=0 controllerNumber=1 scan=5440,1,Unknown,ms1,1691.72,990.7639,0.0000
5067,controllerType=0 controllerNumber=1 scan=5734,1,Unknown,ms1,1746.73,990.7662,0.0000
5083,controllerType=0 controllerNumber=1 scan=5813,1,Unknown,ms1,1761.19,990.7656,0.0000
5137,controllerType=0 controllerNumber=1 scan=6032,1,Unknown,ms1,1802.31,990.7611,0.0000
5137,controllerType=0 controllerNumber=1 scan=6032,1,Unknown,ms1,1802.31,990.7685,0.0000
5147,controllerType=0 controllerNumber=1 scan=6078,1,Unknown,ms1,1810.41,990.7670,0.0000
5256,controllerType=0 controllerNumber=1 scan=6551,1,Unknown,ms1,1898.24,990.7648,0.0000
5316,controllerType=0 controllerNumber=1 scan=6875,1,Unknown,ms1,1955.02,990.7660,0.0000
5322,controllerType=0 controllerNumber=1 scan=6900,1,Unknown,ms1,1959.83,990.7680,0.0000
5346,controllerType=0 controllerNumber=1 scan=6996,1,Unknown,ms1,1978.23,990.7660,0.0000
5378,controllerType=0 controllerNumber=1 scan=7169,1,Unknown,ms1,2008.97,990.7648,153974.0000
5380,controllerType=0 controllerNumber=1 scan=7176,1,Unknown,ms1,2010.33,990.7648,0.0000
5387,controllerType=0 controllerNumber=1 scan=7191,1,Unknown,ms1,2013.79,990.7651,120959.7813
5390,controllerType=0 controllerNumber=1 scan=7197,1,Unknown,ms1,2015.11,990.7651,0.0000
5392,controllerType=0 controllerNumber=1 scan=7202,1,Unknown,ms1,2016.23,990.7653,0.0000
5439,controllerType=0 controllerNumber=1 scan=7358,1,Unknown,ms1,2047.11,990.7667,0.0000
5443,controllerType=0 controllerNumber=1 scan=7365,1,Unknown,ms1,2048.79,990.7664,564097.7500
5477,controllerType=0 controllerNumber=1 scan=7533,1,Unknown,ms1,2079.00,990.7639,191344.4063
5480,controllerType=0 controllerNumber=1 scan=7562,1,Unknown,ms1,2083.66,990.7647,34915.4023
5481,controllerType=0 controllerNumber=1 scan=7571,1,Unknown,ms1,2085.14,990.7649,22882.3418
5487,controllerType=0 controllerNumber=1 scan=7603,1,Unknown,ms1,2090.88,990.7646,407299.9063
5489,controllerType=0 controllerNumber=1 scan=7612,1,Unknown,ms1,2092.43,990.7650,1033543.6875
5490,controllerType=0 controllerNumber=1 scan=7613,1,Unknown,ms1,2092.79,990.7638,1237763.0000
5491,controllerType=0 controllerNumber=1 scan=7620,1,Unknown,ms1,2093.81,990.7651,1060615.2500
5492,controllerType=0 controllerNumber=1 scan=7621,1,Unknown,ms1,2094.18,990.7640,3251724.7500
5493,controllerType=0 controllerNumber=1 scan=7627,1,Unknown,ms1,2095.18,990.7636,3201302.2500
5494,controllerType=0 controllerNumber=1 scan=7628,1,Unknown,ms1,2095.55,990.7667,3670420.5000
5495,controllerType=0 controllerNumber=1 scan=7631,1,Unknown,ms1,2096.16,990.7651,5756944.5000
5496,controllerType=0 controllerNumber=1 scan=7632,1,Unknown,ms1,2096.52,990.7652,4620733.0000
5497,controllerType=0 controllerNumber=1 scan=7636,1,Unknown,ms1,2097.22,990.7652,7895581.5000
5498,controllerType=0 controllerNumber=1 scan=7637,1,Unknown,ms1,2097.58,990.7652,7513847.0000
5499,controllerType=0 controllerNumber=1 scan=7642,1,Unknown,ms1,2098.50,990.7656,7973785.0000
5500,controllerType=0 controllerNumber=1 scan=7647,1,Unknown,ms1,2099.48,990.7660,12631360.0000
5501,controllerType=0 controllerNumber=1 scan=7651,1,Unknown,ms1,2100.26,990.7656,11883659.0000
5502,controllerType=0 controllerNumber=1 scan=7652,1,Unknown,ms1,2100.63,990.7655,12665666.0000
5503,controllerType=0 controllerNumber=1 scan=7658,1,Unknown,ms1,2101.53,990.7661,11706997.0000
5504,controllerType=0 controllerNumber=1 scan=7665,1,Unknown,ms1,2102.70,990.7658,14452401.0000
5505,controllerType=0 controllerNumber=1 scan=7668,1,Unknown,ms1,2103.16,990.7659,13748156.0000
5506,controllerType=0 controllerNumber=1 scan=7675,1,Unknown,ms1,2104.30,990.7661,12554316.0000
5507,controllerType=0 controllerNumber=1 scan=7684,1,Unknown,ms1,2105.66,990.7662,8828439.0000
5508,controllerType=0 controllerNumber=1 scan=7687,1,Unknown,ms1,2106.17,990.7653,7341056.5000
5509,controllerType=0 controllerNumber=1 scan=7695,1,Unknown,ms1,2107.49,990.7652,6835851.0000
5510,controllerType=0 controllerNumber=1 scan=7696,1,Unknown,ms1,2107.86,990.7657,4392923.5000
5511,controllerType=0 controllerNumber=1 scan=7706,1,Unknown,ms1,2109.49,990.7660,4158818.2500
5512,controllerType=0 controllerNumber=1 scan=7709,1,Unknown,ms1,2110.03,990.7661,3914493.0000
5513,controllerType=0 controllerNumber=1 scan=7716,1,Unknown,ms1,2111.16,990.7660,3456999.5000
5514,controllerType=0 controllerNumber=1 scan=7722,1,Unknown,ms1,2112.15,990.7674,1760351.1250
5515,controllerType=0 controllerNumber=1 scan=7728,1,Unknown,ms1,2113.17,990.7666,1453046.0000
5516,controllerType=0 controllerNumber=1 scan=7735,1,Unknown,ms1,2114.33,990.7665,1052592.3750
5517,controllerType=0 controllerNumber=1 scan=7741,1,Unknown,ms1,2115.41,990.7611,829101.0625
5517,controllerType=0 controllerNumber=1 scan=7741,1,Unknown,ms1,2115.41,990.7684,748528.4375
5518,controllerType=0 controllerNumber=1 scan=7754,1,Unknown,ms1,2117.70,990.7679,448574.7188
5519,controllerType=0 controllerNumber=1 scan=7767,1,Unknown,ms1,2119.75,990.7663,230346.7188
5520,controllerType=0 controllerNumber=1 scan=7771,1,Unknown,ms1,2120.45,990.7663,280653.0938
5534,controllerType=0 controllerNumber=1 scan=7835,1,Unknown,ms1,2131.39,990.7658,506818.4063
5544,controllerType=0 controllerNumber=1 scan=7858,1,Unknown,ms1,2136.40,990.7658,200877.2813
5545,controllerType=0 controllerNumber=1 scan=7859,1,Unknown,ms1,2136.77,990.7660,929198.3750
5547,controllerType=0 controllerNumber=1 scan=7865,1,Unknown,ms1,2137.99,990.7660,341847.6250
5548,controllerType=0 controllerNumber=1 scan=7868,1,Unknown,ms1,2138.65,990.7659,714405.5000
5551,controllerType=0 controllerNumber=1 scan=7882,1,Unknown,ms1,2141.12,990.7657,656331.5000
5552,controllerType=0 controllerNumber=1 scan=7889,1,Unknown,ms1,2142.04,990.7657,290041.6563
5553,controllerType=0 controllerNumber=1 scan=7893,1,Unknown,ms1,2142.64,990.7656,387331.1250
5554,controllerType=0 controllerNumber=1 scan=7901,1,Unknown,ms1,2143.88,990.7655,269610.8750
5556,controllerType=0 controllerNumber=1 scan=7916,1,Unknown,ms1,2146.21,990.7654,264186.8750
5557,controllerType=0 controllerNumber=1 scan=7925,1,Unknown,ms1,2147.76,990.7653,230161.5156
5558,controllerType=0 controllerNumber=1 scan=7932,1,Unknown,ms1,2148.93,990.7649,164829.7344
5559,controllerType=0 controllerNumber=1 scan=7939,1,Unknown,ms1,2150.04,990.7657,384924.5938
5560,controllerType=0 controllerNumber=1 scan=7947,1,Unknown,ms1,2151.28,990.7651,372158.4063
5561,controllerType=0 controllerNumber=1 scan=7953,1,Unknown,ms1,2152.37,990.7657,234216.2813
