# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,sumIntensity,peakMZ,peakIntensity
186,controllerType=0 controllerNumber=1 scan=189,1,Unknown,ms1,60.76,17620.0215,1607.1769,17620.0215
246,controllerType=0 controllerNumber=1 scan=249,1,Unknown,ms1,80.09,48486.2578,1607.1769,48486.2578
292,controllerType=0 controllerNumber=1 scan=295,1,Unknown,ms1,95.02,20214.0723,1607.1771,20214.0723
298,controllerType=0 controllerNumber=1 scan=301,1,Unknown,ms1,96.91,27194.7773,1607.1769,27194.7773
678,controllerType=0 controllerNumber=1 scan=681,1,Unknown,ms1,220.37,35264.3867,1607.1767,35264.3867
1372,controllerType=0 controllerNumber=1 scan=1376,1,Unknown,ms1,446.20,18623.3594,1607.1771,18623.3594
1457,controllerType=0 controllerNumber=1 scan=1462,1,Unknown,ms1,474.21,24367.4570,1607.1769,24367.4570
1521,controllerType=0 controllerNumber=1 scan=1527,1,Unknown,ms1,495.21,22165.3906,1607.1767,22165.3906
1535,controllerType=0 controllerNumber=1 scan=1541,1,Unknown,ms1,499.63,77404.1016,1607.1767,77404.1016
1561,controllerType=0 controllerNumber=1 scan=1568,1,Unknown,ms1,508.38,8399.8906,1607.1769,8399.8906
1694,controllerType=0 controllerNumber=1 scan=1704,1,Unknown,ms1,551.94,6086.5972,1607.1769,6086.5972
1698,controllerType=0 controllerNumber=1 scan=1708,1,Unknown,ms1,553.20,40342.5859,1607.1769,40342.5859
1761,controllerType=0 controllerNumber=1 scan=1772,1,Unknown,ms1,573.47,36245.1563,1607.1769,36245.1563
2116,controllerType=0 controllerNumber=1 scan=2139,1,Unknown,ms1,690.75,61104.6055,1607.1766,61104.6055
2219,controllerType=0 controllerNumber=1 scan=2247,1,Unknown,ms1,725.27,44428.4609,1607.1762,44428.4609
2256,controllerType=0 controllerNumber=1 scan=2291,1,Unknown,ms1,738.15,22962.1367,1607.1758,22962.1367
2431,controllerType=0 controllerNumber=1 scan=2480,1,Unknown,ms1,798.43,33702.7344,1607.1770,33702.7344
2761,controllerType=0 controllerNumber=1 scan=2817,1,Unknown,ms1,908.18,45084.8555,1607.1769,45084.8555
2869,controllerType=0 controllerNumber=1 scan=2926,1,Unknown,ms1,944.24,20020.8027,1607.1763,20020.8027
2994,controllerType=0 controllerNumber=1 scan=3051,1,Unknown,ms1,985.31,45917.6992,1607.1766,45917.6992
3055,controllerType=0 controllerNumber=1 scan=3112,1,Unknown,ms1,1005.28,79930.7266,1607.1766,79930.7266
3309,controllerType=0 controllerNumber=1 scan=3372,1,Unknown,ms1,1088.24,34891.0859,1607.1770,34891.0859
3400,controllerType=0 controllerNumber=1 scan=3468,1,Unknown,ms1,1118.21,51238.0469,1607.1767,51238.0469
3517,controllerType=0 controllerNumber=1 scan=3589,1,Unknown,ms1,1157.04,89581.7500,1607.1767,89581.7500
3629,controllerType=0 controllerNumber=1 scan=3707,1,Unknown,ms1,1194.79,26970.6211,1607.1763,26970.6211
4589,controllerType=0 controllerNumber=1 scan=4759,1,Unknown,ms1,1519.88,33787.3477,1607.1763,33787.3477
4767,controllerType=0 controllerNumber=1 scan=5005,1,Unknown,ms1,1587.50,39255.7500,1607.1765,39255.7500
5499,controllerType=0 controllerNumber=1 scan=7642,1,Unknown,ms1,2098.50,334604.2188,1607.1748,334604.2188
5502,controllerType=0 controllerNumber=1 scan=7652,1,Unknown,ms1,2100.63,280892.5313,1607.1752,280892.5313
5504,controllerType=0 controllerNumber=1 scan=7665,1,Unknown,ms1,2102.70,828959.1250,1607.1815,828959.1250
5505,controllerType=0 controllerNumber=1 scan=7668,1,Unknown,ms1,2103.16,472739.1250,1607.1750,472739.1250
5506,controllerType=0 controllerNumber=1 scan=7675,1,Unknown,ms1,2104.30,253067.2969,1607.1755,253067.2969
5507,controllerType=0 controllerNumber=1 scan=7684,1,Unknown,ms1,2105.66,351468.3438,1607.1753,351468.3438
5508,controllerType=0 controllerNumber=1 scan=7687,1,Unknown,ms1,2106.17,158553.6875,1607.1751,158553.6875
5509,controllerType=0 controllerNumber=1 scan=7695,1,Unknown,ms1,2107.49,504571.8438,1607.1751,504571.8438
5525,controllerType=0 controllerNumber=1 scan=7811,1,Unknown,ms1,2126.50,638494.8750,1607.1749,638494.8750
5527,controllerType=0 controllerNumber=1 scan=7818,1,Unknown,ms1,2127.73,2257347.7500,1607.1818,2257347.7500
5528,controllerType=0 controllerNumber=1 scan=7819,1,Unknown,ms1,2128.10,509623.0000,1607.1750,509623.0000
5529,controllerType=0 controllerNumber=1 scan=7822,1,Unknown,ms1,2128.64,1428603.1250,1607.1754,1428603.1250
