# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
137,controllerType=0 controllerNumber=1 scan=140,1,Unknown,ms1,44.99,937.1050,0.0000
137,controllerType=0 controllerNumber=1 scan=140,1,Unknown,ms1,44.99,937.1118,0.0000
352,controllerType=0 controllerNumber=1 scan=355,1,Unknown,ms1,114.31,937.1050,10904.1699
352,controllerType=0 controllerNumber=1 scan=355,1,Unknown,ms1,114.31,937.1118,0.0000
687,controllerType=0 controllerNumber=1 scan=690,1,Unknown,ms1,223.21,937.1050,10930.1025
687,controllerType=0 controllerNumber=1 scan=690,1,Unknown,ms1,223.21,937.1118,21650.2832
1237,controllerType=0 controllerNumber=1 scan=1240,1,Unknown,ms1,401.57,937.1052,20219.2656
1237,controllerType=0 controllerNumber=1 scan=1240,1,Unknown,ms1,401.57,937.1120,8837.7158
1747,controllerType=0 controllerNumber=1 scan=1757,1,Unknown,ms1,568.76,937.1049,0.0000
1747,controllerType=0 controllerNumber=1 scan=1757,1,Unknown,ms1,568.76,937.1117,0.0000
2052,controllerType=0 controllerNumber=1 scan=2074,1,Unknown,ms1,670.03,937.1048,0.0000
2086,controllerType=0 controllerNumber=1 scan=2108,1,Unknown,ms1,680.97,937.1049,0.0000
2086,controllerType=0 controllerNumber=1 scan=2108,1,Unknown,ms1,680.97,937.1117,17302.0781
2091,controllerType=0 controllerNumber=1 scan=2113,1,Unknown,ms1,682.55,937.1048,20444.0684
2091,controllerType=0 controllerNumber=1 scan=2113,1,Unknown,ms1,682.55,937.1116,25038.7617
2142,controllerType=0 controllerNumber=1 scan=2165,1,Unknown,ms1,699.46,937.1049,20573.0234
2142,controllerType=0 controllerNumber=1 scan=2165,1,Unknown,ms1,699.46,937.1117,10052.7383
3003,controllerType=0 controllerNumber=1 scan=3060,1,Unknown,ms1,988.36,937.1051,31593.2109
3003,controllerType=0 controllerNumber=1 scan=3060,1,Unknown,ms1,988.36,937.1119,39814.8125
3410,controllerType=0 controllerNumber=1 scan=3478,1,Unknown,ms1,1121.57,937.1115,0.0000
3552,controllerType=0 controllerNumber=1 scan=3624,1,Unknown,ms1,1168.79,937.1048,30544.9473
3552,controllerType=0 controllerNumber=1 scan=3624,1,Unknown,ms1,1168.79,937.1116,25331.2676
3655,controllerType=0 controllerNumber=1 scan=3735,1,Unknown,ms1,1203.86,937.1046,0.0000
3655,controllerType=0 controllerNumber=1 scan=3735,1,Unknown,ms1,1203.86,937.1114,0.0000
3700,controllerType=0 controllerNumber=1 scan=3784,1,Unknown,ms1,1218.77,937.1046,33082.7461
3700,controllerType=0 controllerNumber=1 scan=3784,1,Unknown,ms1,1218.77,937.1114,24604.4199
3841,controllerType=0 controllerNumber=1 scan=3938,1,Unknown,ms1,1266.32,937.1045,0.0000
3841,controllerType=0 controllerNumber=1 scan=3938,1,Unknown,ms1,1266.32,937.1113,0.0000
3913,controllerType=0 controllerNumber=1 scan=4016,1,Unknown,ms1,1290.61,937.1047,0.0000
3913,controllerType=0 controllerNumber=1 scan=4016,1,Unknown,ms1,1290.61,937.1115,0.0000
4029,controllerType=0 controllerNumber=1 scan=4144,1,Unknown,ms1,1329.91,937.1049,0.0000
4029,controllerType=0 controllerNumber=1 scan=4144,1,Unknown,ms1,1329.91,937.1117,0.0000
4124,controllerType=0 controllerNumber=1 scan=4248,1,Unknown,ms1,1361.78,937.1051,21353.2734
4124,controllerType=0 controllerNumber=1 scan=4248,1,Unknown,ms1,1361.78,937.1119,27607.7891
4173,controllerType=0 controllerNumber=1 scan=4299,1,Unknown,ms1,1377.76,937.1050,0.0000
4173,controllerType=0 controllerNumber=1 scan=4299,1,Unknown,ms1,1377.76,937.1118,0.0000
4223,controllerType=0 controllerNumber=1 scan=4353,1,Unknown,ms1,1394.41,937.1051,0.0000
4223,controllerType=0 controllerNumber=1 scan=4353,1,Unknown,ms1,1394.41,937.1119,0.0000
4240,controllerType=0 controllerNumber=1 scan=4370,1,Unknown,ms1,1399.88,937.1119,0.0000
4252,controllerType=0 controllerNumber=1 scan=4383,1,Unknown,ms1,1403.91,937.1051,0.0000
4252,controllerType=0 controllerNumber=1 scan=4383,1,Unknown,ms1,1403.91,937.1119,0.0000
4262,controllerType=0 controllerNumber=1 scan=4394,1,Unknown,ms1,1407.38,937.1119,0.0000
4370,controllerType=0 controllerNumber=1 scan=4508,1,Unknown,ms1,1444.13,937.1048,0.0000
4370,controllerType=0 controllerNumber=1 scan=4508,1,Unknown,ms1,1444.13,937.1116,0.0000
4461,controllerType=0 controllerNumber=1 scan=4610,1,Unknown,ms1,1474.86,937.1048,0.0000
4461,controllerType=0 controllerNumber=1 scan=4610,1,Unknown,ms1,1474.86,937.1116,0.0000
4762,controllerType=0 controllerNumber=1 scan=4999,1,Unknown,ms1,1585.76,937.1049,14472.3467
4762,controllerType=0 controllerNumber=1 scan=4999,1,Unknown,ms1,1585.76,937.1117,23705.6836
4789,controllerType=0 controllerNumber=1 scan=5038,1,Unknown,ms1,1596.28,937.1047,34222.4414
4789,controllerType=0 controllerNumber=1 scan=5038,1,Unknown,ms1,1596.28,937.1115,33411.9219
4829,controllerType=0 controllerNumber=1 scan=5100,1,Unknown,ms1,1612.61,937.1048,0.0000
4829,controllerType=0 controllerNumber=1 scan=5100,1,Unknown,ms1,1612.61,937.1116,0.0000
5073,controllerType=0 controllerNumber=1 scan=5767,1,Unknown,ms1,1752.65,937.1110,0.0000
5107,controllerType=0 controllerNumber=1 scan=5894,1,Unknown,ms1,1777.30,937.1104,0.0000
5151,controllerType=0 controllerNumber=1 scan=6095,1,Unknown,ms1,1813.61,937.1102,33540.4727
5249,controllerType=0 controllerNumber=1 scan=6499,1,Unknown,ms1,1889.24,937.1079,0.0000
5287,controllerType=0 controllerNumber=1 scan=6711,1,Unknown,ms1,1926.16,937.1060,0.0000
5299,controllerType=0 controllerNumber=1 scan=6788,1,Unknown,ms1,1939.47,937.1109,25556.0449
5300,controllerType=0 controllerNumber=1 scan=6799,1,Unknown,ms1,1941.26,937.1109,0.0000
5302,controllerType=0 controllerNumber=1 scan=6814,1,Unknown,ms1,1943.93,937.1099,0.0000
5303,controllerType=0 controllerNumber=1 scan=6820,1,Unknown,ms1,1944.94,937.1064,0.0000
5303,controllerType=0 controllerNumber=1 scan=6820,1,Unknown,ms1,1944.94,937.1132,0.0000
5304,controllerType=0 controllerNumber=1 scan=6826,1,Unknown,ms1,1945.88,937.1078,0.0000
5305,controllerType=0 controllerNumber=1 scan=6830,1,Unknown,ms1,1946.69,937.1074,0.0000
5306,controllerType=0 controllerNumber=1 scan=6834,1,Unknown,ms1,1947.46,937.1068,0.0000
5306,controllerType=0 controllerNumber=1 scan=6834,1,Unknown,ms1,1947.46,937.1136,0.0000
5307,controllerType=0 controllerNumber=1 scan=6835,1,Unknown,ms1,1947.83,937.1094,0.0000
5308,controllerType=0 controllerNumber=1 scan=6839,1,Unknown,ms1,1948.46,937.1094,0.0000
5309,controllerType=0 controllerNumber=1 scan=6844,1,Unknown,ms1,1949.31,937.1044,0.0000
5309,controllerType=0 controllerNumber=1 scan=6844,1,Unknown,ms1,1949.31,937.1112,0.0000
5310,controllerType=0 controllerNumber=1 scan=6850,1,Unknown,ms1,1950.32,937.1082,0.0000
5311,controllerType=0 controllerNumber=1 scan=6851,1,Unknown,ms1,1950.69,937.1075,0.0000
5312,controllerType=0 controllerNumber=1 scan=6854,1,Unknown,ms1,1951.24,937.1072,0.0000
5313,controllerType=0 controllerNumber=1 scan=6861,1,Unknown,ms1,1952.41,937.1071,0.0000
5314,controllerType=0 controllerNumber=1 scan=6862,1,Unknown,ms1,1952.77,937.1100,0.0000
5315,controllerType=0 controllerNumber=1 scan=6869,1,Unknown,ms1,1953.94,937.1071,0.0000
5316,controllerType=0 controllerNumber=1 scan=6875,1,Unknown,ms1,1955.02,937.1044,0.0000
5316,controllerType=0 controllerNumber=1 scan=6875,1,Unknown,ms1,1955.02,937.1112,0.0000
5317,controllerType=0 controllerNumber=1 scan=6880,1,Unknown,ms1,1956.01,937.1108,0.0000
5318,controllerType=0 controllerNumber=1 scan=6883,1,Unknown,ms1,1956.74,937.1108,0.0000
5321,controllerType=0 controllerNumber=1 scan=6893,1,Unknown,ms1,1958.67,937.1109,0.0000
5322,controllerType=0 controllerNumber=1 scan=6900,1,Unknown,ms1,1959.83,937.1110,0.0000
5324,controllerType=0 controllerNumber=1 scan=6906,1,Unknown,ms1,1961.24,937.1110,0.0000
5330,controllerType=0 controllerNumber=1 scan=6931,1,Unknown,ms1,1965.82,937.1044,0.0000
5333,controllerType=0 controllerNumber=1 scan=6947,1,Unknown,ms1,1968.54,937.1043,0.0000
5341,controllerType=0 controllerNumber=1 scan=6978,1,Unknown,ms1,1974.63,937.1110,0.0000
5343,controllerType=0 controllerNumber=1 scan=6987,1,Unknown,ms1,1976.32,937.1047,0.0000
5343,controllerType=0 controllerNumber=1 scan=6987,1,Unknown,ms1,1976.32,937.1115,0.0000
5349,controllerType=0 controllerNumber=1 scan=7009,1,Unknown,ms1,1980.62,937.1109,0.0000
5369,controllerType=0 controllerNumber=1 scan=7130,1,Unknown,ms1,2001.85,937.1106,0.0000
5386,controllerType=0 controllerNumber=1 scan=7190,1,Unknown,ms1,2013.47,937.1109,0.0000
5387,controllerType=0 controllerNumber=1 scan=7191,1,Unknown,ms1,2013.79,937.1102,0.0000
5396,controllerType=0 controllerNumber=1 scan=7213,1,Unknown,ms1,2018.47,937.1106,0.0000
5403,controllerType=0 controllerNumber=1 scan=7233,1,Unknown,ms1,2022.71,937.1107,0.0000
5407,controllerType=0 controllerNumber=1 scan=7248,1,Unknown,ms1,2025.55,937.1062,0.0000
5407,controllerType=0 controllerNumber=1 scan=7248,1,Unknown,ms1,2025.55,937.1130,0.0000
5408,controllerType=0 controllerNumber=1 scan=7254,1,Unknown,ms1,2026.71,937.1108,0.0000
5409,controllerType=0 controllerNumber=1 scan=7255,1,Unknown,ms1,2027.08,937.1107,0.0000
5413,controllerType=0 controllerNumber=1 scan=7284,1,Unknown,ms1,2031.91,937.1111,0.0000
5419,controllerType=0 controllerNumber=1 scan=7315,1,Unknown,ms1,2037.49,937.1045,0.0000
5419,controllerType=0 controllerNumber=1 scan=7315,1,Unknown,ms1,2037.49,937.1113,0.0000
5441,controllerType=0 controllerNumber=1 scan=7361,1,Unknown,ms1,2047.88,937.1047,0.0000
5441,controllerType=0 controllerNumber=1 scan=7361,1,Unknown,ms1,2047.88,937.1115,0.0000
5453,controllerType=0 controllerNumber=1 scan=7384,1,Unknown,ms1,2053.36,937.1109,0.0000
5458,controllerType=0 controllerNumber=1 scan=7402,1,Unknown,ms1,2056.71,937.1107,0.0000
5470,controllerType=0 controllerNumber=1 scan=7471,1,Unknown,ms1,2068.76,937.1099,0.0000
5475,controllerType=0 controllerNumber=1 scan=7520,1,Unknown,ms1,2076.82,937.1108,0.0000
5476,controllerType=0 controllerNumber=1 scan=7526,1,Unknown,ms1,2077.83,937.1088,0.0000
5477,controllerType=0 controllerNumber=1 scan=7533,1,Unknown,ms1,2079.00,937.1091,0.0000
5478,controllerType=0 controllerNumber=1 scan=7541,1,Unknown,ms1,2080.33,937.1096,0.0000
5479,controllerType=0 controllerNumber=1 scan=7549,1,Unknown,ms1,2081.65,937.1095,0.0000
5480,controllerType=0 controllerNumber=1 scan=7562,1,Unknown,ms1,2083.66,937.1098,0.0000
5481,controllerType=0 controllerNumber=1 scan=7571,1,Unknown,ms1,2085.14,937.1100,0.0000
5495,controllerType=0 controllerNumber=1 scan=7631,1,Unknown,ms1,2096.16,937.1104,0.0000
5497,controllerType=0 controllerNumber=1 scan=7636,1,Unknown,ms1,2097.22,937.1103,0.0000
5498,controllerType=0 controllerNumber=1 scan=7637,1,Unknown,ms1,2097.58,937.1083,0.0000
5499,controllerType=0 controllerNumber=1 scan=7642,1,Unknown,ms1,2098.50,937.1047,0.0000
5499,controllerType=0 controllerNumber=1 scan=7642,1,Unknown,ms1,2098.50,937.1114,0.0000
