# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
380,controllerType=0 controllerNumber=1 scan=383,1,Unknown,ms1,123.40,759.5738,0.0000
383,controllerType=0 controllerNumber=1 scan=386,1,Unknown,ms1,124.34,759.5738,0.0000
592,controllerType=0 controllerNumber=1 scan=595,1,Unknown,ms1,192.73,759.5738,0.0000
617,controllerType=0 controllerNumber=1 scan=620,1,Unknown,ms1,200.67,759.5737,0.0000
707,controllerType=0 controllerNumber=1 scan=710,1,Unknown,ms1,230.23,759.5738,0.0000
936,controllerType=0 controllerNumber=1 scan=939,1,Unknown,ms1,304.47,759.5738,0.0000
1487,controllerType=0 controllerNumber=1 scan=1493,1,Unknown,ms1,484.23,759.5737,0.0000
1493,controllerType=0 controllerNumber=1 scan=1499,1,Unknown,ms1,486.13,759.5737,12408.5938
1576,controllerType=0 controllerNumber=1 scan=1583,1,Unknown,ms1,513.27,759.5737,0.0000
1636,controllerType=0 controllerNumber=1 scan=1644,1,Unknown,ms1,532.85,759.5737,0.0000
1711,controllerType=0 controllerNumber=1 scan=1721,1,Unknown,ms1,557.30,759.5736,19371.8828
2129,controllerType=0 controllerNumber=1 scan=2152,1,Unknown,ms1,694.85,759.5737,22215.4453
2158,controllerType=0 controllerNumber=1 scan=2181,1,Unknown,ms1,704.97,759.5735,17386.3906
2158,controllerType=0 controllerNumber=1 scan=2181,1,Unknown,ms1,704.97,759.5785,25388.6035
2187,controllerType=0 controllerNumber=1 scan=2214,1,Unknown,ms1,714.88,759.5735,0.0000
2193,controllerType=0 controllerNumber=1 scan=2220,1,Unknown,ms1,716.77,759.5735,0.0000
2193,controllerType=0 controllerNumber=1 scan=2220,1,Unknown,ms1,716.77,759.5785,0.0000
2733,controllerType=0 controllerNumber=1 scan=2787,1,Unknown,ms1,898.42,759.5738,0.0000
2742,controllerType=0 controllerNumber=1 scan=2796,1,Unknown,ms1,901.42,759.5738,0.0000
