# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
258,controllerType=0 controllerNumber=1 scan=261,1,Unknown,ms1,84.18,763.5707,22490.8984
258,controllerType=0 controllerNumber=1 scan=261,1,Unknown,ms1,84.18,763.5757,13817.2432
542,controllerType=0 controllerNumber=1 scan=545,1,Unknown,ms1,176.04,763.5705,24941.5195
542,controllerType=0 controllerNumber=1 scan=545,1,Unknown,ms1,176.04,763.5756,30752.7891
618,controllerType=0 controllerNumber=1 scan=621,1,Unknown,ms1,201.03,763.5706,14580.9814
618,controllerType=0 controllerNumber=1 scan=621,1,Unknown,ms1,201.03,763.5756,26419.2480
661,controllerType=0 controllerNumber=1 scan=664,1,Unknown,ms1,214.95,763.5707,10035.2256
661,controllerType=0 controllerNumber=1 scan=664,1,Unknown,ms1,214.95,763.5757,18832.4980
744,controllerType=0 controllerNumber=1 scan=747,1,Unknown,ms1,242.31,763.5706,14377.5156
744,controllerType=0 controllerNumber=1 scan=747,1,Unknown,ms1,242.31,763.5756,23670.2539
787,controllerType=0 controllerNumber=1 scan=790,1,Unknown,ms1,256.38,763.5708,20129.9180
787,controllerType=0 controllerNumber=1 scan=790,1,Unknown,ms1,256.38,763.5758,25545.8086
1161,controllerType=0 controllerNumber=1 scan=1164,1,Unknown,ms1,377.04,763.5707,0.0000
1161,controllerType=0 controllerNumber=1 scan=1164,1,Unknown,ms1,377.04,763.5757,0.0000
1226,controllerType=0 controllerNumber=1 scan=1229,1,Unknown,ms1,397.90,763.5709,10809.4141
1226,controllerType=0 controllerNumber=1 scan=1229,1,Unknown,ms1,397.90,763.5759,17870.2852
1227,controllerType=0 controllerNumber=1 scan=1230,1,Unknown,ms1,398.21,763.5708,27215.8242
1227,controllerType=0 controllerNumber=1 scan=1230,1,Unknown,ms1,398.21,763.5758,22851.4414
1709,controllerType=0 controllerNumber=1 scan=1719,1,Unknown,ms1,556.67,763.5707,8826.7666
1709,controllerType=0 controllerNumber=1 scan=1719,1,Unknown,ms1,556.67,763.5757,21056.7441
1827,controllerType=0 controllerNumber=1 scan=1841,1,Unknown,ms1,595.44,763.5706,19171.8223
1827,controllerType=0 controllerNumber=1 scan=1841,1,Unknown,ms1,595.44,763.5756,23449.1230
1877,controllerType=0 controllerNumber=1 scan=1893,1,Unknown,ms1,612.01,763.5705,0.0000
1877,controllerType=0 controllerNumber=1 scan=1893,1,Unknown,ms1,612.01,763.5755,0.0000
2079,controllerType=0 controllerNumber=1 scan=2101,1,Unknown,ms1,678.76,763.5705,0.0000
2079,controllerType=0 controllerNumber=1 scan=2101,1,Unknown,ms1,678.76,763.5755,0.0000
2091,controllerType=0 controllerNumber=1 scan=2113,1,Unknown,ms1,682.55,763.5705,9595.4785
2091,controllerType=0 controllerNumber=1 scan=2113,1,Unknown,ms1,682.55,763.5755,21028.5059
2136,controllerType=0 controllerNumber=1 scan=2159,1,Unknown,ms1,697.36,763.5705,11342.9834
2136,controllerType=0 controllerNumber=1 scan=2159,1,Unknown,ms1,697.36,763.5755,0.0000
2179,controllerType=0 controllerNumber=1 scan=2206,1,Unknown,ms1,712.35,763.5704,0.0000
2179,controllerType=0 controllerNumber=1 scan=2206,1,Unknown,ms1,712.35,763.5754,0.0000
2349,controllerType=0 controllerNumber=1 scan=2396,1,Unknown,ms1,771.44,763.5705,0.0000
2440,controllerType=0 controllerNumber=1 scan=2489,1,Unknown,ms1,801.42,763.5708,6895.9907
