# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,sumIntensity,peakMZ,peakIntensity
4369,controllerType=0 controllerNumber=1 scan=4507,1,Unknown,ms1,1443.76,43895.3730,700.9457,24216.4551
4688,controllerType=0 controllerNumber=1 scan=4900,1,Unknown,ms1,1558.26,32437.2295,700.9455,22478.1133
5229,controllerType=0 controllerNumber=1 scan=6381,1,Unknown,ms1,1868.74,21307.6270,700.9479,21307.6270
5232,controllerType=0 controllerNumber=1 scan=6406,1,Unknown,ms1,1872.88,24239.0156,700.9491,24239.0156
5233,controllerType=0 controllerNumber=1 scan=6414,1,Unknown,ms1,1874.21,67250.4609,700.9488,47928.6953
5234,controllerType=0 controllerNumber=1 scan=6421,1,Unknown,ms1,1875.37,36906.3359,700.9491,36906.3359
5239,controllerType=0 controllerNumber=1 scan=6444,1,Unknown,ms1,1879.39,47455.4697,700.9505,37803.8008
5344,controllerType=0 controllerNumber=1 scan=6988,1,Unknown,ms1,1976.69,15715.3359,700.9495,15715.3359
5573,controllerType=0 controllerNumber=1 scan=8024,1,Unknown,ms1,2164.14,44417.0781,700.9442,44417.0781
5615,controllerType=0 controllerNumber=1 scan=8196,1,Unknown,ms1,2195.74,481430.0313,700.9497,263343.0000
5616,controllerType=0 controllerNumber=1 scan=8201,1,Unknown,ms1,2196.67,412284.6094,700.9496,232707.2031
5617,controllerType=0 controllerNumber=1 scan=8208,1,Unknown,ms1,2197.83,1620230.2500,700.9503,924252.4375
5618,controllerType=0 controllerNumber=1 scan=8209,1,Unknown,ms1,2198.20,1000278.6563,700.9498,566857.1875
5619,controllerType=0 controllerNumber=1 scan=8216,1,Unknown,ms1,2199.29,680204.8125,700.9472,680204.8125
5620,controllerType=0 controllerNumber=1 scan=8225,1,Unknown,ms1,2200.69,725177.6875,700.9478,725177.6875
5621,controllerType=0 controllerNumber=1 scan=8231,1,Unknown,ms1,2201.86,1905013.3750,700.9501,1133384.8750
5622,controllerType=0 controllerNumber=1 scan=8242,1,Unknown,ms1,2203.55,1474591.1875,700.9493,886122.6875
5623,controllerType=0 controllerNumber=1 scan=8246,1,Unknown,ms1,2204.25,1560855.6250,700.9490,942432.3750
5624,controllerType=0 controllerNumber=1 scan=8259,1,Unknown,ms1,2206.30,1428610.1875,700.9493,867481.0000
5625,controllerType=0 controllerNumber=1 scan=8272,1,Unknown,ms1,2208.43,1530126.1250,700.9503,914286.8125
5626,controllerType=0 controllerNumber=1 scan=8281,1,Unknown,ms1,2209.89,3769022.6250,700.9488,2274701.2500
