# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
154,controllerType=0 controllerNumber=1 scan=157,1,Unknown,ms1,50.35,1323.0724,0.0000
158,controllerType=0 controllerNumber=1 scan=161,1,Unknown,ms1,51.82,1323.0723,0.0000
180,controllerType=0 controllerNumber=1 scan=183,1,Unknown,ms1,58.81,1323.0724,0.0000
373,controllerType=0 controllerNumber=1 scan=376,1,Unknown,ms1,121.04,1323.0726,0.0000
498,controllerType=0 controllerNumber=1 scan=501,1,Unknown,ms1,161.85,1323.0726,0.0000
526,controllerType=0 controllerNumber=1 scan=529,1,Unknown,ms1,170.99,1323.0723,0.0000
683,controllerType=0 controllerNumber=1 scan=686,1,Unknown,ms1,221.95,1323.0724,0.0000
712,controllerType=0 controllerNumber=1 scan=715,1,Unknown,ms1,232.06,1323.0724,0.0000
806,controllerType=0 controllerNumber=1 scan=809,1,Unknown,ms1,262.73,1323.0725,0.0000
1310,controllerType=0 controllerNumber=1 scan=1313,1,Unknown,ms1,425.21,1323.0726,0.0000
1445,controllerType=0 controllerNumber=1 scan=1450,1,Unknown,ms1,470.22,1323.0724,0.0000
1473,controllerType=0 controllerNumber=1 scan=1479,1,Unknown,ms1,479.36,1323.0724,18338.5547
1564,controllerType=0 controllerNumber=1 scan=1571,1,Unknown,ms1,509.33,1323.0725,0.0000
1644,controllerType=0 controllerNumber=1 scan=1652,1,Unknown,ms1,535.52,1323.0726,0.0000
1687,controllerType=0 controllerNumber=1 scan=1696,1,Unknown,ms1,549.49,1323.0723,0.0000
1692,controllerType=0 controllerNumber=1 scan=1701,1,Unknown,ms1,551.17,1323.0724,0.0000
1929,controllerType=0 controllerNumber=1 scan=1947,1,Unknown,ms1,629.61,1323.0723,0.0000
2010,controllerType=0 controllerNumber=1 scan=2030,1,Unknown,ms1,656.43,1323.0722,0.0000
2030,controllerType=0 controllerNumber=1 scan=2050,1,Unknown,ms1,662.74,1323.0721,0.0000
2161,controllerType=0 controllerNumber=1 scan=2184,1,Unknown,ms1,705.92,1323.0722,32369.0977
2173,controllerType=0 controllerNumber=1 scan=2200,1,Unknown,ms1,710.30,1323.0720,0.0000
2288,controllerType=0 controllerNumber=1 scan=2329,1,Unknown,ms1,749.56,1323.0718,0.0000
2445,controllerType=0 controllerNumber=1 scan=2494,1,Unknown,ms1,803.15,1323.0725,0.0000
2594,controllerType=0 controllerNumber=1 scan=2647,1,Unknown,ms1,852.94,1323.0726,0.0000
2622,controllerType=0 controllerNumber=1 scan=2675,1,Unknown,ms1,862.13,1323.0726,13481.9434
2717,controllerType=0 controllerNumber=1 scan=2771,1,Unknown,ms1,892.92,1323.0725,0.0000
2735,controllerType=0 controllerNumber=1 scan=2789,1,Unknown,ms1,899.05,1323.0726,0.0000
2820,controllerType=0 controllerNumber=1 scan=2876,1,Unknown,ms1,927.71,1323.0721,0.0000
3022,controllerType=0 controllerNumber=1 scan=3079,1,Unknown,ms1,994.35,1323.0724,0.0000
3123,controllerType=0 controllerNumber=1 scan=3181,1,Unknown,ms1,1027.69,1323.0723,0.0000
3194,controllerType=0 controllerNumber=1 scan=3253,1,Unknown,ms1,1050.70,1323.0725,29085.8301
3398,controllerType=0 controllerNumber=1 scan=3466,1,Unknown,ms1,1117.58,1323.0720,38465.1484
3458,controllerType=0 controllerNumber=1 scan=3528,1,Unknown,ms1,1137.36,1323.0717,32584.6875
3473,controllerType=0 controllerNumber=1 scan=3543,1,Unknown,ms1,1142.35,1323.0718,0.0000
3630,controllerType=0 controllerNumber=1 scan=3708,1,Unknown,ms1,1195.16,1323.0720,0.0000
3655,controllerType=0 controllerNumber=1 scan=3735,1,Unknown,ms1,1203.86,1323.0718,0.0000
3744,controllerType=0 controllerNumber=1 scan=3829,1,Unknown,ms1,1233.01,1323.0717,20895.5781
3762,controllerType=0 controllerNumber=1 scan=3850,1,Unknown,ms1,1239.29,1323.0718,0.0000
3917,controllerType=0 controllerNumber=1 scan=4022,1,Unknown,ms1,1292.18,1323.0719,0.0000
4069,controllerType=0 controllerNumber=1 scan=4189,1,Unknown,ms1,1343.54,1323.0723,26536.1465
